Genotype,HA,NA,PB2,PB1,PA,NP,MP,NS
G0000,0,0,2,3,1,1,1,3
G0001,1,2,1,1,2,1,1,3.2
G0002,2,3,2,1,2,1,1,1
G0003,3,2,1,1,2,1,3.1,2
G0004,3,2,3.2,4.4,3.1,2.3,3.5,3.4
G0005,3,2,3.2,4.4,3.1,2.4,3.5,3.4
G0006,3,3,1,1,2,1,3.1,2
G0007,3,3,1,1,3,1,1,2
G0008,3,3,1,1,3,1,2,2
G0009,3,3,3,4.12,3.3,2.5.4,3.1,3.4
G0010,3,3,3,4.12,3.3,2.5.5,3.1,3.4
G0011,3,3,3.2,4.4,3.1,2.4,3.6,3.4
G0012,3,3,3.3,4,3.3,2.5.4,3.1,3.4
G0013,3,3,3.3,4.12,3.3,2.5.4,3.1,3.4
G0014,3,3,3.3,4.12,3.3,2.5.5,3.1,3.4
G0015,3,3,3.3,4.9,3.3,2.5.4,3.1,3.4
G0016,3,3,3.3,4.9,3.3,2.5.4,3.9,3.4
G0017,3,3,3.4,4.12,3.3,2.5.3,3.1,3.4
G0018,3,3,3.4,4.12,3.3,2.5.4,3.7,3.3
G0019,3,4.7,3.4,4,3.3,2.5.4,3.1,3.4
G0020,3,4.7,3.4,4,3.3,2.5.6,3.1,3.3
G0021,3,4.7,3.4,4.12,3.3,2.5.4,3.1,3.3
G0022,3,4.7,3.4,4.12,3.3,2.5.6,3.1,3.3
G0023,3,4.7,3.4,4.12,3.3,2.5.6,3.7,3.3
G0024,3,4.7.12,3.4,4,3.3,2.5.3,3.7,3.3
G0025,3,4.7.12,3.4,4.12,3.3,2.5.6,3.8,3.3
G0026,3,4.7.7,3,4.12,3.3,2.5.4,3.1,3.4
G0027,3,4.7.7,3.3,4.12,3.3,2.5.4,3.1,3.4
G0028,3,4.7.7,3.3,4.12,3.3,2.5.4,3.9,3.4
G0029,3,4.7.7,3.3,4.12,3.3,2.5.6,3.1,3.4
G0030,3,4.7.7,3.3,4.9,3.3,2.5.4,3.1,3.4
G0031,3,4.7.7,3.3,4.9,3.3,2.5.4,3.9,3.4
G0032,3,4.7.7,3.4,4,3.3,2.5.4,3.1,3.3
G0033,3,4.7.7,3.4,4,3.3,2.5.4,3.1,3.4
G0034,3,4.7.7,3.4,4,3.3,2.5.6,3.1,3.3
G0035,3,4.7.7,3.4,4.12,3.3,2.5.2,3.1,3.4
G0036,4,0,1,1,1,1,1,3.1
G0037,4,1,2,3,2,2.1,1,3.2
G0038,4,1,2,3,2,2.1,3.2,3.2
G0039,4,1,2,3,2,2.1,3.2,3.4
G0040,4,1,2,3,3,2.1,1,3
G0041,4,1,3,3,2,2,3.1,3.2
G0042,4,1,3,3,2,2.1,3.1,3.2
G0043,4,4,1,3,1,1,1,3.1
G0044,4,4,2,3,1,1,1,3
G0045,4,4,2,3,1,1,1,3.1
G0046,4,4,2,3,2,2.3,3.2,3.2
G0047,4,4.1,2,3,1,1,1,3.2
G0048,4,4.3,2,4,3,2.5,1,3
G0049,4,4.3,2,4.1,3,2.5,3.3,3
G0050,4,4.3,2,4.1,3,2.5,3.3,3.4
G0051,4,4.4,2,4,1,2.4,1,3.4
G0052,4,4.4,2,4,3,1,1,3.4
G0053,4,4.4,2,4,3,2.4,1,3.4
G0054,4,4.4,2,4,3,2.4,3,3.4
G0055,4,4.4,2,4,3,2.4,3.2,3.3
G0056,4,4.4,2,4,3,2.4,3.2,3.4
G0057,4,4.4,2,4,3,2.4,3.3,3
G0058,4,4.4,2,4,3,2.4,3.3,3.4
G0059,4,4.4,2,4,3,2.4,3.7,3.4
G0060,4,4.4,2,4,3,2.5,3.3,3
G0061,4,4.4,2,4,3,2.5,3.3,3.4
G0062,4,4.4,2,4.1,2,2.5,3.3,3.2
